UnterkunftID,Name,Bezeichnung,Sterne,Stadt,Preis_pro_Nacht,max_Personen,Beschreibung,Eigenschaften,Bild_URL
1,"Berlin Central Hotel","Hotel",4,"Berlin",119.00,2,"Modernes Stadthotel nahe Alexanderplatz.","WLAN;Frühstück;24h-Rezeption","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
2,"Spree Riverside Apartment","Wohnung",5,"Berlin",135.00,4,"Helle Wohnung direkt an der Spree.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
3,"Kreuzberg Loft","Wohnung",4,"Berlin",99.00,2,"Stylisches Loft im Szeneviertel Kreuzberg.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
4,"Berlin Budget Inn","Hotel",3,"Berlin",69.00,2,"Einfaches, sauberes Hotel mit guter ÖPNV-Anbindung.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
5,"Mitte Design Suites","Wohnung",5,"Berlin",160.00,3,"Design-Appartement in Berlin-Mitte.","WLAN;Küche;Parkplatz","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
6,"Tiergarten View Hotel","Hotel",4,"Berlin",129.00,2,"Komfortables Hotel mit Blick auf den Tiergarten.","WLAN;Spa;Frühstücksbuffet","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
7,"Prenzlauer Berg Family Flat","Wohnung",4,"Berlin",115.00,5,"Familienfreundliche Wohnung mit Spielplatz in der Nähe.","WLAN;Küche;Kinderbett","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
8,"Berlin Skyline Apartment","Wohnung",5,"Berlin",175.00,4,"Penthouse mit großem Balkon und Skylineblick.","WLAN;Küche;Balkon;Aufzug","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
9,"Checkpoint Charlie Hotel","Hotel",4,"Berlin",139.00,2,"Hotel in Laufnähe zu vielen Sehenswürdigkeiten.","WLAN;Frühstück;Parkplatz","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
10,"East Side Gallery Studio","Wohnung",3,"Berlin",80.00,2,"Kleines Studio direkt an der East Side Gallery.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
11,"Paris Centre Hôtel","Hotel",4,"Paris",150.00,2,"Charmantes Hotel im Herzen von Paris.","WLAN;Frühstück;24h-Rezeption","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
12,"Montmartre Studio","Wohnung",3,"Paris",110.00,2,"Gemütliches Studio mit Blick auf Sacré-Cœur.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
13,"Seine Riverside Apartment","Wohnung",5,"Paris",190.00,4,"Luxuriöse Wohnung an der Seine.","WLAN;Küche;Balkon","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
14,"Latin Quarter Hotel","Hotel",3,"Paris",120.00,2,"Kleines Boutique-Hotel im Studentenviertel.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
15,"Eiffel View Suites","Wohnung",5,"Paris",250.00,4,"Suite mit direktem Blick auf den Eiffelturm.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
16,"Gare du Nord Inn","Hotel",3,"Paris",95.00,2,"Praktisches Hotel nahe dem Bahnhof.","WLAN;Frühstück;Parkplatz","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
17,"Le Marais Loft","Wohnung",4,"Paris",170.00,3,"Stylisches Loft im Szeneviertel Le Marais.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
18,"Champs-Élysées Hotel","Hotel",5,"Paris",260.00,2,"Elegantes Hotel an den Champs-Élysées.","WLAN;Spa;Frühstücksbuffet","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
19,"Saint-Germain Apartment","Wohnung",4,"Paris",180.00,3,"Ruhige Wohnung in historischer Umgebung.","WLAN;Küche;Balkon","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
20,"Budget Room Paris","Wohnung",2,"Paris",70.00,2,"Einfache Unterkunft für kurze Aufenthalte.","WLAN","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
